epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.55674,1.52657,2.09279,1.62488,0.95582,0.80123,0.92191,0.52269,1.53043,2.14258,1.8109,0.000648148,0.000648148,0.000648148
2,17.9058,1.34595,1.3782,1.44649,0.89093,0.95062,0.96045,0.52655,1.34463,1.94136,1.69887,0.00128878,0.00128878,0.00128878
3,25.3406,1.31905,1.2302,1.39887,0.62982,0.55556,0.58698,0.27521,1.76565,3.03922,1.99377,0.00190301,0.00190301,0.00190301
4,34.6189,1.36996,1.24048,1.42109,0.91414,0.92011,0.9322,0.55746,1.62154,1.75186,1.88927,0.0018812,0.0018812,0.0018812
5,46.2062,1.27273,1.12772,1.35713,0.95968,0.96296,0.97356,0.45148,1.75357,1.8412,1.93888,0.0018416,0.0018416,0.0018416
6,57.5829,1.33002,1.09573,1.40297,0.92537,0.96296,0.97377,0.55539,1.28089,1.23706,1.53081,0.001802,0.001802,0.001802
7,67.4557,1.27172,1.01442,1.36152,0.90297,0.91914,0.93981,0.58455,1.18453,1.0682,1.35324,0.0017624,0.0017624,0.0017624
8,78.3627,1.21045,0.9564,1.30138,0.93936,0.98765,0.97574,0.61135,1.15082,0.97573,1.36033,0.0017228,0.0017228,0.0017228
9,97.5241,1.22012,0.92097,1.30022,0.96114,0.98765,0.985,0.54108,1.48823,0.96716,1.54166,0.0016832,0.0016832,0.0016832
10,110.786,1.17144,0.8372,1.27571,0.98307,0.98765,0.97402,0.6059,1.13749,0.7205,1.32153,0.0016436,0.0016436,0.0016436
11,124.975,1.26801,0.8376,1.30405,0.92475,0.91358,0.9472,0.59651,1.2628,0.86636,1.3911,0.001604,0.001604,0.001604
12,138.122,1.18259,0.83736,1.27667,0.96025,0.98765,0.97845,0.62324,1.19345,0.74535,1.36571,0.0015644,0.0015644,0.0015644
13,151.833,1.16042,0.76102,1.22884,0.98614,0.98765,0.98486,0.65298,1.18946,0.67992,1.32219,0.0015248,0.0015248,0.0015248
14,164.051,1.19245,0.77094,1.27355,0.94898,0.95062,0.9547,0.65038,1.12282,0.71303,1.29707,0.0014852,0.0014852,0.0014852
15,176.073,1.11301,0.7767,1.22618,0.95974,0.96296,0.97499,0.65485,1.16371,0.67071,1.33159,0.0014456,0.0014456,0.0014456
16,186.551,1.10254,0.73304,1.2207,0.95052,0.95062,0.9558,0.63685,1.0998,0.63324,1.28628,0.001406,0.001406,0.001406
17,197.773,1.08818,0.72638,1.22104,0.96187,0.96296,0.97113,0.67927,1.08574,0.57808,1.27493,0.0013664,0.0013664,0.0013664
18,209.198,1.11784,0.72976,1.22453,0.91563,0.95062,0.95189,0.61388,1.21038,0.73896,1.35897,0.0013268,0.0013268,0.0013268
19,219.362,1.10068,0.7173,1.24753,0.94041,0.97422,0.96869,0.66429,1.11261,0.60663,1.30712,0.0012872,0.0012872,0.0012872
20,228.884,1.07696,0.70046,1.19693,0.93871,0.95062,0.95588,0.64218,1.26516,0.68472,1.38125,0.0012476,0.0012476,0.0012476
21,241.262,1.06588,0.70007,1.21455,0.96181,0.96296,0.97117,0.70289,1.03155,0.59149,1.20777,0.001208,0.001208,0.001208
22,251.435,1.04642,0.67976,1.196,0.98596,0.98765,0.98414,0.66489,1.07275,0.6074,1.23571,0.0011684,0.0011684,0.0011684
23,261.904,1.0566,0.67094,1.21675,0.97322,0.97531,0.96912,0.6863,1.04605,0.56399,1.22422,0.0011288,0.0011288,0.0011288
24,276.501,1.02596,0.64161,1.16655,0.98764,0.9867,0.98364,0.70602,1.01753,0.51718,1.18746,0.0010892,0.0010892,0.0010892
25,286.179,0.98288,0.61846,1.15389,0.96383,0.98682,0.98022,0.67736,1.04836,0.52458,1.23296,0.0010496,0.0010496,0.0010496
26,295.794,1.0061,0.64201,1.17227,0.98618,0.98765,0.98352,0.68011,1.05567,0.53139,1.20486,0.00101,0.00101,0.00101
27,308.748,1.0005,0.60733,1.1616,0.98704,1,0.99354,0.68238,1.06712,0.55777,1.24332,0.0009704,0.0009704,0.0009704
28,317.419,0.96486,0.60991,1.15049,0.96218,0.96296,0.96252,0.66757,1.04398,0.49265,1.26322,0.0009308,0.0009308,0.0009308
29,326.718,0.98871,0.59581,1.16615,0.96286,0.96026,0.96061,0.66526,1.04294,0.55363,1.23369,0.0008912,0.0008912,0.0008912
30,336.119,0.95173,0.58916,1.14633,0.95111,0.96065,0.96201,0.63958,1.08509,0.51914,1.28002,0.0008516,0.0008516,0.0008516
